2020/05/12,16:03:21	1589267001	36000	442	350	161	32811	35246	52605	58879
2020/05/12,17:03:21	1589270601	35999	432	297	164	32592	34943	52860	58613
2020/05/12,18:03:21	1589274201	36000	439	306	172	32508	35505	52900	58546
2020/05/12,19:03:21	1589277801	35999	455	323	169	32478	35512	53181	58872
2020/05/12,20:03:21	1589281401	36000	432	322	169	32556	35444	52729	58709
2020/05/12,21:03:21	1589285001	35999	457	331	165	32444	35716	52616	58870
2020/05/12,22:03:21	1589288601	36000	494	337	200	32272	35392	52956	57969
2020/05/12,23:03:21	1589292201	35999	436	339	169	32419	35571	52952	57927
2020/05/13,00:03:21	1589295801	36000	444	294	167	32798	35437	52996	58511
2020/05/13,01:03:21	1589299401	35999	433	340	172	32859	35620	53111	59596
2020/05/13,02:03:21	1589303001	36000	441	320	193	32641	35959	53069	59700
2020/05/13,03:03:21	1589306601	35999	459	356	173	32845	36005	53267	60269
2020/05/13,04:03:21	1589310201	36000	424	325	197	32499	35868	53598	60226
2020/05/13,05:03:21	1589313801	35999	422	321	172	32949	35285	53500	60507
2020/05/13,06:03:21	1589317401	36000	461	340	182	32975	35971	53494	61117
2020/05/13,07:03:21	1589321001	35999	432	345	189	32993	35777	53437	59981
2020/05/13,08:03:21	1589324601	36000	441	352	176	32827	35810	53156	59299
2020/05/13,09:03:21	1589328201	35999	478	331	172	32584	35609	52794	58903
2020/05/13,10:03:21	1589331801	36000	449	302	168	32164	35780	53243	58038
2020/05/13,11:03:21	1589335401	35999	402	324	154	32791	35961	53212	57853
2020/05/13,12:03:21	1589339001	36000	448	382	167	32710	35740	53229	57805
2020/05/13,13:03:21	1589342601	35999	443	312	175	32743	35824	53184	57880
2020/05/13,14:03:21	1589346201	36000	446	328	181	32471	35497	53015	58050
2020/05/13,15:03:21	1589349801	35999	411	310	160	32475	35627	53251	58316
2020/05/13,16:03:21	1589353401	36000	435	344	159	32407	35364	52806	57866
2020/05/13,17:03:21	1589357001	35999	401	318	171	32131	35733	53241	57116
2020/05/13,18:03:21	1589360601	36000	485	330	149	32674	35686	52826	56123
2020/05/13,19:03:21	1589364201	35999	437	338	174	32400	35793	52864	55840
2020/05/13,20:03:21	1589367801	36000	435	353	175	32498	35509	53046	55669
2020/05/13,21:03:21	1589371401	35999	446	312	160	32428	35531	52444	55553
2020/05/13,22:03:21	1589375001	36000	426	304	168	32502	35417	52899	55949
2020/05/13,23:03:21	1589378601	35999	462	325	195	32412	35765	53442	56150
2020/05/14,00:03:21	1589382201	36000	456	323	179	32241	35517	52990	56009
2020/05/14,01:03:21	1589385801	35999	431	300	173	32233	35745	53204	55991
2020/05/14,02:03:21	1589389401	36000	466	304	162	32257	35625	52912	55898
2020/05/14,03:03:21	1589393001	35999	445	315	173	32442	36242	53252	56033
2020/05/14,04:03:21	1589396601	35999	482	319	171	32382	36185	53120	57686
2020/05/14,05:03:21	1589400201	35999	442	294	172	32512	36526	53123	57000
2020/05/14,06:03:21	1589403801	35999	447	333	172	32463	36049	53384	56586
2020/05/14,07:03:21	1589407401	35999	455	293	188	32694	36080	53409	56030
2020/05/14,08:03:21	1589411001	35999	472	313	173	32462	36397	52932	56124
2020/05/14,09:03:21	1589414601	36000	434	321	168	32388	36101	53264	55839
2020/05/14,10:03:21	1589418201	35999	428	330	165	32392	35911	53100	55696
2020/05/14,11:03:21	1589421801	36000	441	295	183	32265	35909	53071	54993
2020/05/14,12:03:21	1589425401	35999	451	327	151	32599	35853	53299	55214
2020/05/14,13:03:21	1589429001	36000	420	320	165	32519	35918	53037	54764
2020/05/14,14:03:21	1589432601	35999	440	329	165	32447	35998	53339	54177
2020/05/14,15:03:21	1589436201	36000	450	345	150	32410	36003	53318	54636
2020/05/14,16:03:21	1589439801	35999	459	330	201	32419	35950	53887	54419
2020/05/14,17:03:21	1589443401	36000	467	314	183	32288	35824	52766	54642
2020/05/14,18:03:21	1589447001	35999	477	337	167	32167	35871	53199	55291
2020/05/14,19:03:21	1589450601	36000	464	319	179	32134	35960	52822	55251
2020/05/14,20:03:21	1589454201	35999	418	330	186	31974	36114	52924	55799
2020/05/14,21:03:21	1589457801	36000	434	334	188	32304	35897	53144	56033
2020/05/14,22:03:21	1589461401	35999	444	345	184	32113	36028	52825	55981
2020/05/14,23:03:21	1589465001	36000	448	337	170	31847	36062	53245	55954
2020/05/15,00:03:21	1589468601	35999	434	336	170	32017	36046	53092	56127
2020/05/15,01:03:21	1589472201	36000	472	328	206	32449	35937	53239	56300
2020/05/15,02:03:21	1589475801	35999	389	339	174	32010	35967	53280	56734
2020/05/15,03:03:21	1589479401	36000	418	315	159	32048	35966	52913	57503
2020/05/15,04:03:21	1589483001	35999	434	335	162	32304	36352	53096	57315
2020/05/15,05:03:21	1589486601	36000	445	344	186	32133	36394	53440	57729
2020/05/15,06:03:21	1589490201	35999	423	336	167	32400	36726	53274	57564
2020/05/15,07:03:21	1589493801	36000	428	336	193	31795	35979	53199	58019
2020/05/15,08:03:21	1589497401	35999	477	329	161	32482	36181	53319	57850
2020/05/15,09:03:21	1589501001	36000	456	354	167	32106	36013	53674	56650
2020/05/15,10:03:21	1589504601	35999	412	313	170	32156	36022	53453	55025
2020/05/15,11:03:21	1589508201	36000	434	325	162	32280	36241	53193	54371
2020/05/15,12:03:21	1589511801	35999	419	290	187	32079	35856	53574	54725
2020/05/15,13:03:21	1589515401	36000	420	327	168	32177	36146	53146	54188
2020/05/15,14:03:21	1589519001	35999	442	287	161	31869	35737	52842	54130
2020/05/15,15:03:21	1589522601	36000	422	291	169	32041	35846	53094	53890
2020/05/15,16:03:21	1589526201	35999	453	327	181	32027	35837	52999	53854
2020/05/15,17:03:21	1589529801	36000	455	308	167	32005	36152	52747	54190
2020/05/15,18:03:21	1589533401	35999	455	319	161	31852	35897	52816	53948
2020/05/15,19:03:21	1589537001	36000	410	316	169	32000	35739	52611	53923
2020/05/15,20:03:21	1589540601	35999	431	319	170	32219	35772	52701	53827
2020/05/15,21:03:21	1589544201	36000	416	362	169	31976	36502	53117	54072
2020/05/15,22:03:21	1589547801	35999	418	299	168	31763	36214	52942	54385
2020/05/15,23:03:21	1589551401	36000	431	336	141	32162	35940	52863	54352
2020/05/16,00:03:21	1589555001	35999	429	297	173	32165	35718	52902	54726
2020/05/16,01:03:21	1589558601	36000	439	341	188	31968	36121	53395	55085
2020/05/16,02:03:21	1589562201	35999	449	345	172	31809	36315	52759	55010
2020/05/16,03:03:21	1589565801	36000	449	326	171	32278	36184	53057	54820
2020/05/16,04:03:21	1589569401	35999	444	327	160	32342	36565	53651	55642
2020/05/16,05:03:21	1589573001	36000	450	276	170	32488	35994	53401	54918
2020/05/16,06:03:21	1589576601	35999	387	331	178	32194	36468	53506	54782
2020/05/16,07:03:21	1589580201	36000	429	327	170	32242	35890	53609	54492
2020/05/16,08:03:21	1589583801	35999	443	285	175	32125	36235	53231	54070
2020/05/16,09:03:21	1589587401	36000	406	327	173	31965	36504	53617	54334
2020/05/16,10:03:21	1589591001	35999	496	320	155	32435	36371	53176	54563
2020/05/16,11:03:21	1589594601	35999	437	315	150	32359	36351	53746	53714
2020/05/16,12:03:21	1589598201	36000	440	332	179	32499	36186	53544	54704
2020/05/16,13:03:21	1589601801	35999	479	329	171	32365	36634	53618	54507
2020/05/16,14:03:21	1589605401	36000	427	332	172	32587	36436	53590	54266
2020/05/16,15:03:21	1589609001	35999	419	283	147	32658	36591	53315	53992
2020/05/16,16:03:21	1589612601	36000	425	332	182	32483	36245	53815	54081
2020/05/16,17:03:21	1589616201	35999	446	348	176	32766	36632	53432	54389
2020/05/16,18:03:21	1589619801	36000	435	355	190	32462	36196	53825	54483
2020/05/16,19:03:21	1589623401	35999	427	321	169	32516	36634	53848	54415
2020/05/16,20:03:21	1589627001	36000	447	317	195	32744	36230	53466	53711
2020/05/16,21:03:21	1589630601	35999	423	343	201	32652	36754	53592	54261
2020/05/16,22:03:21	1589634201	36000	428	331	179	32444	36285	53565	54306
2020/05/16,23:03:21	1589637801	35999	450	355	171	32523	36484	53593	54119
2020/05/17,00:03:21	1589641401	36000	434	336	164	33076	36255	53762	53511
2020/05/17,01:03:21	1589645001	35999	462	346	177	33077	36547	53359	53767
2020/05/17,02:03:22	1589648602	36000	462	345	167	32599	36489	53925	54024
2020/05/17,03:03:22	1589652202	35999	473	343	197	32866	36613	53710	54840
2020/05/17,04:03:22	1589655802	36000	461	339	167	32486	36360	53976	54397
2020/05/17,05:03:22	1589659402	35999	429	328	207	32737	36363	54062	54479
2020/05/17,06:03:22	1589663002	36000	429	330	179	33004	36638	53881	54525
2020/05/17,07:03:22	1589666602	35999	460	337	160	32991	36761	54063	54749
2020/05/17,08:03:22	1589670202	36000	431	331	180	32704	36506	53793	54613
2020/05/17,09:03:22	1589673802	35999	462	323	176	32852	36452	54341	54361
2020/05/17,10:03:22	1589677402	36000	448	329	171	32751	36847	54003	53807
2020/05/17,11:03:22	1589681002	35999	408	316	188	32745	36568	54087	54182
2020/05/17,12:03:22	1589684602	36000	431	342	178	32917	36766	53276	53958
2020/05/17,13:03:22	1589688202	35999	434	297	184	32984	36346	53950	54028
2020/05/17,14:03:22	1589691802	36000	437	300	181	32591	36327	53810	53466
2020/05/17,15:03:22	1589695402	35999	422	324	159	32404	36371	53116	53525
