    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2018/11/16,08:33:48
MCA Data File,okumura_Cs.asc
Comment,
Date,2018/11/16,08:23:11
Live Time,300,Real Time,487,Preset time,300,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
 444,    1362
 445,    1398
 446,    1385
 447,    1359
 448,    1369
 449,    1401
 450,    1369
 451,    1374
 452,    1342
 453,    1351
 454,    1315
 455,    1301
 456,    1346
 457,    1368
 458,    1355
 459,    1352
 460,    1333
 461,    1360
 462,    1365
 463,    1349
 464,    1374
 465,    1354
 466,    1376
 467,    1338
 468,    1365
 469,    1339
 470,    1402
 471,    1284
 472,    1369
 473,    1341
 474,    1278
 475,    1314
 476,    1371
 477,    1359
 478,    1326
 479,    1348
 480,    1349
 481,    1332
 482,    1343
 483,    1297
 484,    1362
 485,    1387
 486,    1326
 487,    1310
 488,    1315
 489,    1389
 490,    1325
 491,    1348
 492,    1306
 493,    1296
 494,    1319
 495,    1424
 496,    1362
 497,    1381
 498,    1368
 499,    1340
 500,    1331
 501,    1330
 502,    1297
 503,    1346
 504,    1364
 505,    1359
 506,    1367
 507,    1272
 508,    1362
 509,    1456
 510,    1382
 511,    1333
 512,    1347
 513,    1342
 514,    1336
 515,    1354
 516,    1342
 517,    1343
 518,    1371
 519,    1362
 520,    1411
 521,    1342
 522,    1332
 523,    1352
 524,    1320
 525,    1431
 526,    1325
 527,    1380
 528,    1438
 529,    1306
 530,    1296
 531,    1410
 532,    1347
 533,    1421
 534,    1279
 535,    1324
 536,    1390
 537,    1369
 538,    1377
 539,    1351
 540,    1396
 541,    1318
 542,    1319
 543,    1390
 544,    1390
 545,    1364
 546,    1363
 547,    1444
 548,    1324
 549,    1449
 550,    1402
 551,    1321
 552,    1387
 553,    1420
 554,    1404
 555,    1327
 556,    1399
 557,    1453
 558,    1449
 559,    1321
 560,    1364
 561,    1343
 562,    1376
 563,    1432
 564,    1390
 565,    1455
 566,    1407
 567,    1422
 568,    1429
 569,    1393
 570,    1422
 571,    1443
 572,    1371
 573,    1399
 574,    1360
 575,    1356
 576,    1399
 577,    1421
 578,    1420
 579,    1434
 580,    1382
 581,    1380
 582,    1451
 583,    1386
 584,    1366
 585,    1449
 586,    1383
 587,    1388
 588,    1353
 589,    1363
 590,    1358
 591,    1340
 592,    1345
 593,    1422
 594,    1324
 595,    1451
 596,    1470
 597,    1398
 598,    1424
 599,    1361
 600,    1383
 601,    1411
 602,    1323
 603,    1373
 604,    1381
 605,    1399
 606,    1453
 607,    1424
 608,    1418
 609,    1382
 610,    1404
 611,    1353
 612,    1395
 613,    1396
 614,    1413
 615,    1399
 616,    1440
 617,    1369
 618,    1346
 619,    1394
 620,    1335
 621,    1435
 622,    1362
 623,    1347
 624,    1353
 625,    1369
 626,    1400
 627,    1384
 628,    1393
 629,    1344
 630,    1354
 631,    1403
 632,    1396
 633,    1325
 634,    1396
 635,    1430
 636,    1401
 637,    1425
 638,    1423
 639,    1443
 640,    1463
 641,    1361
 642,    1451
 643,    1425
 644,    1414
 645,    1368
 646,    1442
 647,    1373
 648,    1414
 649,    1395
 650,    1413
 651,    1440
 652,    1409
 653,    1453
 654,    1402
 655,    1350
 656,    1382
 657,    1463
 658,    1427
 659,    1487
 660,    1446
 661,    1477
 662,    1418
 663,    1372
 664,    1418
 665,    1322
 666,    1427
 667,    1429
 668,    1412
 669,    1458
 670,    1404
 671,    1481
 672,    1474
 673,    1372
 674,    1512
 675,    1358
 676,    1485
 677,    1424
 678,    1376
 679,    1450
 680,    1437
 681,    1409
 682,    1362
 683,    1410
 684,    1441
 685,    1461
 686,    1469
 687,    1411
 688,    1365
 689,    1374
 690,    1435
 691,    1427
 692,    1414
 693,    1351
 694,    1458
 695,    1487
 696,    1459
 697,    1402
 698,    1468
 699,    1437
 700,    1419
 701,    1429
 702,    1434
 703,    1459
 704,    1443
 705,    1452
 706,    1444
 707,    1385
 708,    1424
 709,    1487
 710,    1414
 711,    1398
 712,    1514
 713,    1476
 714,    1458
 715,    1493
 716,    1434
 717,    1441
 718,    1403
 719,    1449
 720,    1411
 721,    1376
 722,    1399
 723,    1448
 724,    1433
 725,    1398
